ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,122,3456,70.77,22.04,21.73,159.87,148.95
0,122,3520,70.93,22.02,21.73,159.09,148.82
0,122,3584,71.09,22.00,21.73,158.47,148.84
0,122,3648,71.24,22.02,21.72,159.13,148.75
0,122,3712,71.39,22.00,21.72,158.47,148.65
0,122,3776,71.54,21.99,21.72,158.13,148.64
0,122,3840,71.69,21.99,21.72,158.02,148.71
0,122,3904,71.83,21.99,21.72,158.02,148.73
0,122,3968,71.97,22.01,21.72,158.69,148.63
0,122,4032,72.11,21.97,21.73,157.51,148.86
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,122,640,56.12,5.67,6.15,3.69,4.12
1,122,704,56.95,6.60,7.00,4.58,5.01
1,122,768,57.71,7.07,7.75,5.09,5.96
1,122,832,58.40,7.98,8.46,6.27,7.01
1,122,896,59.05,8.44,9.08,6.97,8.08
1,122,960,59.65,9.29,9.69,8.49,9.31
1,122,1024,60.21,9.92,10.30,9.82,10.71
1,122,1088,60.73,10.28,10.83,10.67,12.11
1,122,1152,61.23,10.99,11.36,12.55,13.69
1,122,1216,61.70,11.41,11.85,13.84,15.32
1,122,1280,62.14,11.84,12.27,15.28,16.86
1,122,1344,62.57,12.34,12.70,17.12,18.62
1,122,1408,62.97,12.71,13.07,18.67,20.29
1,122,1472,63.36,13.14,13.46,20.63,22.18
1,122,1536,63.73,13.42,13.81,21.99,24.06
1,122,1600,64.08,13.84,14.12,24.21,25.81
1,122,1664,64.42,14.16,14.48,26.09,28.06
1,122,1728,64.75,14.52,14.79,28.31,30.10
1,122,1792,65.07,14.84,15.10,30.45,32.38
1,122,1856,65.37,15.15,15.42,32.70,34.81
1,122,1920,65.67,15.44,15.68,34.99,37.01
1,122,1984,65.95,15.77,15.95,37.75,39.35
1,122,2048,66.23,16.03,16.22,40.04,41.87
1,122,2112,66.49,16.28,16.46,42.48,44.25
