BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,8,r 403422c8  [0x403422C8] = 0xCB3F474B    ,11.61,-41.09
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,9,r 4022c8  [0x403422C8] = 0xCB3F4754    ,12.51,-41.33
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F475E    ,13.47,-41.62
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476A    ,14.39,-41.76
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,15.40,-40.33
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,16.40,-40.25
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,17.33,-39.17
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,18.34,-36.61
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,16,r 403422c8  [0x403422C8] = 0xD53F4B7A    ,18.99,-36.21
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,17,r 403422c8  [0x403422C8] = 0xD53F4B89    ,19.96,-33.32
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4B99    ,20.88,-31.04
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BAC    ,21.80,-29.88
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,20,r 403422c8  [0x403422C8] = 0xDE3F4D93    ,22.66,-29.47
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,21,r 403422c8  [0x403422C8] = 0xDE3F4DA5    ,23.45,-28.80
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,22,r 403422c8  [0x403422C8] = 0xDE3F4DB9    ,24.14,-27.99
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,23,r 403422c8  [0x403422C8] = 0xDE3F4DD0    ,24.74,-27.10
#A1_ANT0,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,24,r 403422c8  [0x403422C8] = 0xDF3F4FAA    ,24.29,-26.72
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,8,r 40342"c8  [0x403422C8] = 0xCB3F474B    ,11.00,-40.12
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4754    ,12.04,-40.37
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F475E    ,13.04,-40.61
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476A    ,14.10,-40.89
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,15.09,-39.83
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,16.10,-39.77
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,17.06,-38.69
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,15,r 40422c8  [0x403422C8] = 0xCC3F4989    ,18.04,-36.28
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,16,r 401422c8  [0x403422C8] = 0xD53F4B7B    ,18.85,-37.54
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,17,r 403422c8  [0x403422C8] = 0xD53F4B8A    ,19.79,-34.13
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4B9B    ,20.72,-31.17
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BAE    ,21.62,-29.93
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,20,r 403422c8  [0x403422C8] = 0xDE3F4D90    ,22.45,-29.51
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,21,r 403422c8  [0x403422C8] = 0xDE3F4DA1    ,23.22,-28.91
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,22,r 403422c8  [0x403422C8] = 0xDE3F4DB5    ,23.93,-28.16
#A1_ANT1,testmode22_2024_1009_1901.bin,7,5 11,1 1,4000,23,r 403422c8  [0x403422C8] = 0xDE3F4DCB    ,24.53,-27.31
